movie,actor
Loaded Weapon 1 (1993),William Shatner
Wild Things (1998),Denise Richards
"Prince of Egypt, The (1998)",Patrick Stewart
Novocaine (2000),Steve Martin
Unhook the Stars (1996),Gerard Depardieu
My Dog Skip (2000),Clint Howard
White Water Summer (1987),Sean Astin
Rudy (1993),Theodore Hesburgh
Sleepers (1996),Gerry Becker
Midway (1976),Henry Fonda
Wild Things (1998),Robert Wagner
Slipstream (1989),Mark Hamill
Apollo 13 (1995),Bill Paxton
Random Hearts (1999),Harrison Ford
Hollow Man (2000),Steve Altes
Kafka (1991),Alec Guinness
Wild Things (1998),Theresa Russell
Soapdish (1991),Carrie Fisher
Hollow Man (2000),Elisabeth Shue
Rising Sun (1993),Sean Connery
My Dog Skip (2000),Peter Crombie
Bersaglio mobile (1967),Dana Young
Report to the Commissioner (1975),Bebe Drake
Kutuzov (1944),A. Paliakov
Otello (1955),Nikolai Brilling
Saving Private Ryan (1998),Kathleen Byron
Apollo 13 (1995),Tom Hanks
Slesar i kantzler (1923),Zoya Barantsevich
Zhenshchina s kinzhalom (1916),Nikolai Panov
"Song to Remember, A (1945)",Zoia Karabanova
Irish Whiskey Rebellion (1972),William Challee
Hollow Man (2000),William Devane
Pikovaya dama (1910),P. Biryukov
Tikhij Don (1930),Aleksandr Gromov
Bezottsovshchina (1976),Yelena Maksimova
"Saint, The (1997)",Lev Prygunov
Ostrov zabenya (1917),Yelena Chaika
Zagrobnaya skitalitsa (1915),Viktor Tourjansky
Freaks (1932),Olga Baclanova
"Dark, The (1979)",Angelo Rossitto
"Hvide Slavehandel, Den (1910/I)",Christel Holch
"Begyndte ombord, Det (1937)",Aage Schmidt
Spion 503 (1958),Valso Holm
Judge Dredd (1995),Max von Sydow
My Dog Skip (2000),Diane Lane
"Saint, The (1997)",Val Kilmer
Niagara (1953),Marilyn Monroe
Stir of Echoes (1999),George Ives
"Deserto dei tartari, Il (1976)",Jacques Perrin
Sleepers (1996),Vittorio Gassman
Loaded Weapon 1 (1993),Denise Richards
Wild Things (1998),Kevin Bacon
"Prince of Egypt, The (1998)",Steve Martin
Novocaine (2000),Kevin Bacon
Unhook the Stars (1996),Clint Howard
My Dog Skip (2000),Kevin Bacon
White Water Summer (1987),Kevin Bacon
Rudy (1993),Gerry Becker
Sleepers (1996),Kevin Bacon
Midway (1976),Robert Wagner
Slipstream (1989),Bill Paxton
Apollo 13 (1995),Kevin Bacon
Random Hearts (1999),Steve Altes
Hollow Man (2000),Kevin Bacon
Kafka (1991),Theresa Russell
Soapdish (1991),Elisabeth Shue
Rising Sun (1993),Peter Crombie
Bersaglio mobile (1967),Bebe Drake
Report to the Commissioner (1975),William Devane
Kutuzov (1944),Nikolai Brilling
Otello (1955),Kathleen Byron
Saving Private Ryan (1998),Tom Hanks
Slesar i kantzler (1923),Nikolai Panov
Zhenshchina s kinzhalom (1916),Zoia Karabanova
"Song to Remember, A (1945)",William Challee
Irish Whiskey Rebellion (1972),William Devane
Pikovaya dama (1910),Aleksandr Gromov
Tikhij Don (1930),Yelena Maksimova
Bezottsovshchina (1976),Lev Prygunov
"Saint, The (1997)",Elisabeth Shue
Ostrov zabenya (1917),Viktor Tourjansky
Zagrobnaya skitalitsa (1915),Olga Baclanova
Freaks (1932),Angelo Rossitto
"Dark, The (1979)",William Devane
"Hvide Slavehandel, Den (1910/I)",Aage Schmidt
"Begyndte ombord, Det (1937)",Valso Holm
Spion 503 (1958),Max von Sydow
Judge Dredd (1995),Diane Lane
Niagara (1953),George Ives
Stir of Echoes (1999),Kevin Bacon
"Deserto dei tartari, Il (1976)",Vittorio Gassman
